prompt_id,prompt_family,prompt_generation,n,schema_present_accuracy,primary_schema_accuracy,literal_metaphorical_accuracy,control_accuracy,control_false_positive_schema_rate,non_control_lm_accuracy
p_direct_schema_v1,direct_schema,v1,1800,0.8083333333333333,0.7194444444444444,0.8077777777777778,0.41919191919191917,0.5808080808080808,0.9991708126036484
p_direct_schema_v2_abstention,direct_schema,v2_abstention,1800,0.9272222222222222,0.8594444444444445,0.9272222222222222,0.7845117845117845,0.21548821548821548,0.9975124378109452
p_structured_roles_v1,structured_role_based,v1,1800,0.9066666666666666,0.8033333333333333,0.905,0.7272727272727273,0.2727272727272727,0.9925373134328358
p_structured_roles_v2_abstention,structured_role_based,v2_abstention,1800,0.9277777777777778,0.8427777777777777,0.9244444444444444,0.7828282828282829,0.21717171717171718,0.9941956882255389
