prompt_id,prompt_generation,prompt_base,n,schema_present_accuracy,primary_schema_accuracy,lm_accuracy,control_accuracy,control_false_positive_rate,non_control_over_abstention_rate
p_direct_schema_v1,v1,direct_schema,1800,0.8083333333333333,0.7194444444444444,0.8077777777777778,0.13833333333333334,0.19166666666666668,0.0
p_direct_schema_v2_abstention,v2_abstention,direct_schema,1800,0.9272222222222222,0.8594444444444445,0.9272222222222222,0.2588888888888889,0.07111111111111111,0.0016666666666666668
p_structured_roles_v1,v1,structured_roles,1800,0.9066666666666666,0.8033333333333333,0.905,0.24,0.09,0.0033333333333333335
p_structured_roles_v2_abstention,v2_abstention,structured_roles,1800,0.9277777777777778,0.8427777777777777,0.9244444444444444,0.25833333333333336,0.07166666666666667,0.0005555555555555556
