provider,model_id,n,control_n,non_control_n,primary_schema_accuracy,lm_accuracy,schema_present_accuracy,control_accuracy,control_false_positive_schema_rate,non_control_lm_accuracy,non_control_primary_schema_accuracy,non_control_over_abstention_rate
anthropic,claude_sonnet_4_6,2400,792,1608,0.7720833333333333,0.8554166666666667,0.8566666666666667,0.5656565656565656,0.43434343434343436,0.9981343283582089,0.8737562189054726,0.0
google,gemini_2_5_flash,2400,792,1608,0.7616666666666667,0.8379166666666666,0.8379166666666666,0.5088383838383839,0.4911616161616162,1.0,0.8861940298507462,0.0
openai,openai_gpt_5_4_mini,2400,792,1608,0.885,0.98,0.9829166666666667,0.9608585858585859,0.039141414141414144,0.9894278606965174,0.847636815920398,0.006218905472636816
