prompt_id,target,class_label,precision,recall,f1_score,support
p_direct_schema_v1,primary_schema,BLOCKAGE,0.9695431472081218,0.9646464646464646,0.9670886075949368,198
p_direct_schema_v1,primary_schema,CONTAINER,0.5397727272727273,0.9178743961352657,0.6797853309481218,207
p_direct_schema_v1,primary_schema,FORCE,0.6842105263157895,0.8535353535353535,0.7595505617977527,198
p_direct_schema_v1,primary_schema,NONE,1.0,0.41919191919191917,0.5907473309608541,594
p_direct_schema_v1,primary_schema,SOURCE_PATH_GOAL,0.47344110854503463,0.9903381642512077,0.640625,207
p_direct_schema_v1,primary_schema,SUPPORT_BALANCE,0.9341317365269461,0.7878787878787878,0.8547945205479452,198
p_direct_schema_v1,primary_schema,VERTICALITY,0.8709677419354839,0.6818181818181818,0.7648725212464589,198
p_direct_schema_v2_abstention,primary_schema,BLOCKAGE,0.9601990049751243,0.9747474747474747,0.9674185463659147,198
p_direct_schema_v2_abstention,primary_schema,CONTAINER,0.7237354085603113,0.8985507246376812,0.8017241379310344,207
p_direct_schema_v2_abstention,primary_schema,FORCE,0.7873303167420814,0.8787878787878788,0.8305489260143197,198
p_direct_schema_v2_abstention,primary_schema,NONE,0.9936034115138592,0.7845117845117845,0.876763875823142,594
p_direct_schema_v2_abstention,primary_schema,SOURCE_PATH_GOAL,0.674496644295302,0.9710144927536232,0.7960396039603961,207
p_direct_schema_v2_abstention,primary_schema,SUPPORT_BALANCE,0.9526315789473684,0.9141414141414141,0.9329896907216495,198
p_direct_schema_v2_abstention,primary_schema,VERTICALITY,0.8902439024390244,0.7373737373737373,0.8066298342541436,198
p_structured_roles_v1,primary_schema,BLOCKAGE,0.9642857142857143,0.9545454545454546,0.9593908629441624,198
p_structured_roles_v1,primary_schema,CONTAINER,0.7339449541284404,0.7729468599033816,0.7529411764705882,207
p_structured_roles_v1,primary_schema,FORCE,0.7046413502109705,0.8434343434343434,0.767816091954023,198
p_structured_roles_v1,primary_schema,NONE,0.9863013698630136,0.7272727272727273,0.8372093023255814,594
p_structured_roles_v1,primary_schema,SOURCE_PATH_GOAL,0.518796992481203,1.0,0.6831683168316832,207
p_structured_roles_v1,primary_schema,SUPPORT_BALANCE,0.9491525423728814,0.8484848484848485,0.896,198
p_structured_roles_v1,primary_schema,VERTICALITY,0.9111111111111111,0.6212121212121212,0.7387387387387386,198
p_structured_roles_v2_abstention,primary_schema,BLOCKAGE,0.9702970297029703,0.98989898989899,0.98,198
p_structured_roles_v2_abstention,primary_schema,CONTAINER,0.759656652360515,0.855072463768116,0.8045454545454546,207
p_structured_roles_v2_abstention,primary_schema,FORCE,0.7291666666666666,0.8838383838383839,0.7990867579908675,198
p_structured_roles_v2_abstention,primary_schema,NONE,0.9978540772532188,0.7828282828282829,0.8773584905660378,594
p_structured_roles_v2_abstention,primary_schema,SOURCE_PATH_GOAL,0.6058823529411764,0.9951690821256038,0.753199268738574,207
p_structured_roles_v2_abstention,primary_schema,SUPPORT_BALANCE,0.949438202247191,0.8535353535353535,0.898936170212766,198
p_structured_roles_v2_abstention,primary_schema,VERTICALITY,0.9148936170212766,0.6515151515151515,0.7610619469026548,198
