prompt_id,prompt_base,prompt_generation,n,control_n,non_control_n,primary_schema_accuracy,lm_accuracy,schema_present_accuracy,control_accuracy,control_false_positive_schema_rate,non_control_lm_accuracy,non_control_primary_schema_accuracy,non_control_over_abstention_rate
p_direct_schema_v1,direct_schema,v1,1800,594,1206,0.7194444444444444,0.8077777777777778,0.8083333333333333,0.41919191919191917,0.5808080808080808,0.9991708126036484,0.867330016583748,0.0
p_direct_schema_v2_abstention,direct_schema,v2_abstention,1800,594,1206,0.8594444444444445,0.9272222222222222,0.9272222222222222,0.7845117845117845,0.21548821548821548,0.9975124378109452,0.896351575456053,0.0024875621890547263
p_structured_roles_v1,structured_roles,v1,1800,594,1206,0.8033333333333333,0.905,0.9066666666666666,0.7272727272727273,0.2727272727272727,0.9925373134328358,0.8407960199004975,0.004975124378109453
p_structured_roles_v2_abstention,structured_roles,v2_abstention,1800,594,1206,0.8427777777777777,0.9244444444444444,0.9277777777777778,0.7828282828282829,0.21717171717171718,0.9941956882255389,0.8723051409618574,0.0008291873963515755
